date,region,channel,sales_usd,units_sold,discount_rate,customer_satisfaction,marketing_spend,returns
2022-01-01,South,Retail,9883.1,605,0.051,4.65,682.85,41
2022-01-02,West,Retail,7451.06,544,0.33,4.84,890.13,8
2022-01-03,East,Online,8682.39,680,0.313,4.97,624.02,31
2022-01-04,East,Wholesale,8986.26,655,0.283,4.19,984.27,17
2022-01-05,North,Retail,10348.4,662,0.014,4.25,791.27,15
2022-01-06,North,Online,10177.71,687,0.121,4.11,1182.62,58
2022-01-07,North,Wholesale,10071.63,717,0.105,4.42,1324.36,9
2022-01-08,West,Wholesale,9581.56,683,0.144,4.63,1224.55,32
2022-01-09,East,Wholesale,9722.31,647,0.035,4.78,1225.84,16
2022-01-10,East,Retail,7002.35,530,0.375,4.46,481.57,47
2022-01-11,North,Retail,9144.56,642,0.222,4.38,538.05,38
2022-01-12,West,Online,9482.86,628,0.122,4.52,1136.95,19
2022-01-13,West,Wholesale,9339.63,702,0.159,4.23,811.0,38
2022-01-14,North,Wholesale,8104.38,566,0.179,5.0,755.61,42
2022-01-15,North,Online,7963.79,615,0.24,3.99,423.0,59
2022-01-16,North,Online,9643.39,729,0.206,4.53,732.49,21
2022-01-17,South,Online,8056.89,640,0.368,5.0,429.98,57
2022-01-18,South,Wholesale,9405.04,653,0.199,4.47,1297.13,61
2022-01-19,South,Wholesale,7947.1,621,0.397,4.41,590.78,57
2022-01-20,North,Online,8222.12,615,0.341,4.35,869.36,41
2022-01-21,East,Retail,10187.08,668,0.083,4.41,549.06,44
2022-01-22,North,Online,7700.06,597,0.372,4.87,898.48,27
2022-01-23,North,Wholesale,9713.19,621,0.047,3.79,799.42,48
2022-01-24,South,Wholesale,7940.07,630,0.327,4.91,1109.96,36
2022-01-25,South,Wholesale,8784.31,602,0.152,4.02,1219.37,42
2022-01-26,East,Online,7916.24,604,0.351,4.37,653.32,29
2022-01-27,North,Online,8281.57,630,0.347,4.32,1160.22,47
2022-01-28,South,Online,7930.72,585,0.322,4.62,1186.56,49
2022-01-29,East,Online,9124.07,689,0.316,3.96,1209.32,15
2022-01-30,North,Wholesale,8554.84,580,0.122,4.58,1150.52,49
2022-01-31,East,Wholesale,9513.64,666,0.032,5.0,712.58,39
2022-02-01,North,Wholesale,8699.26,571,0.161,4.03,936.65,49
2022-02-02,North,Wholesale,10584.65,723,0.069,4.49,600.42,35
2022-02-03,West,Retail,8574.66,685,0.278,4.24,510.12,30
2022-02-04,West,Retail,9885.88,656,0.138,4.56,1481.79,60
2022-02-05,West,Wholesale,6922.86,519,0.39,4.44,572.27,16
2022-02-06,South,Wholesale,8715.62,647,0.256,4.24,1087.87,55
2022-02-07,North,Online,8763.82,655,0.329,4.57,1145.14,35
2022-02-08,East,Online,9576.63,659,0.053,4.97,1300.53,37
2022-02-09,South,Online,8787.36,669,0.345,4.36,1316.02,25
2022-02-10,North,Wholesale,7620.93,600,0.369,4.64,565.09,37
2022-02-11,South,Retail,9821.04,726,0.195,4.03,530.68,28
2022-02-12,North,Online,10181.73,739,0.243,4.13,927.75,10
2022-02-13,West,Retail,8005.54,587,0.306,4.56,504.41,20
2022-02-14,North,Retail,9051.1,637,0.07,4.86,472.85,6
2022-02-15,East,Online,9797.36,750,0.201,4.52,842.99,73
2022-02-16,South,Online,10111.07,701,0.159,4.31,1298.0,68
2022-02-17,South,Retail,9026.92,584,0.059,4.41,962.43,26
2022-02-18,South,Retail,8686.13,641,0.147,4.03,705.99,48
2022-02-19,North,Retail,9350.73,625,0.027,4.58,1079.39,25
2022-02-20,West,Retail,8579.32,508,0.01,4.66,628.02,35
2022-02-21,East,Wholesale,8716.29,617,0.054,4.26,448.35,50
2022-02-22,West,Retail,7172.79,539,0.385,,906.89,51
2022-02-23,West,Retail,8070.59,579,0.22,4.47,906.93,26
2022-02-24,East,Wholesale,7784.03,606,0.386,4.26,982.58,48
2022-02-25,West,Online,9004.11,640,0.173,4.37,485.27,21
2022-02-26,North,Online,10223.74,727,0.125,5.0,1367.04,72
2022-02-27,North,Online,7961.89,558,0.202,4.31,891.35,6
2022-02-28,North,Retail,9521.17,685,0.176,4.28,1012.48,44
2022-03-01,South,Retail,9273.88,618,0.042,4.19,1042.95,42
2022-03-02,South,Retail,8369.36,631,0.256,4.6,1141.94,45
2022-03-03,North,Online,9733.57,684,0.086,4.32,1057.98,14
2022-03-04,West,Online,7647.39,531,0.248,4.18,826.64,50
2022-03-05,South,Online,8636.24,660,0.26,4.77,1287.39,17
2022-03-06,North,Online,9451.99,626,0.061,4.8,1187.86,41
2022-03-07,South,Retail,9880.44,687,0.025,4.19,931.03,20
2022-03-08,North,Online,8298.85,626,0.312,3.81,1002.0,23
2022-03-09,West,Online,10498.24,791,0.184,4.67,933.54,46
2022-03-10,North,Wholesale,8975.35,596,0.023,4.16,654.19,28
2022-03-11,West,Online,7337.7,558,0.398,4.6,804.84,13
2022-03-12,East,Retail,8975.71,602,0.023,3.77,1281.89,15
2022-03-13,North,Retail,7859.8,570,0.278,4.63,1123.28,27
2022-03-14,North,Online,7275.34,587,0.393,3.99,612.52,45
2022-03-15,West,Retail,10009.47,637,0.096,4.57,1028.65,57
2022-03-16,East,Wholesale,10387.34,672,0.057,4.36,739.2,11
2022-03-17,East,Wholesale,8871.76,569,0.049,4.06,1326.89,25
2022-03-18,East,Online,8338.75,608,0.121,4.23,1235.07,11
2022-03-19,North,Wholesale,9713.85,706,0.04,4.55,1116.62,8
2022-03-20,South,Online,7831.03,574,0.277,4.38,1021.49,39
2022-03-21,North,Online,9906.42,660,0.025,4.52,1203.73,42
2022-03-22,West,Online,8695.0,622,0.204,4.93,950.5,15
2022-03-23,East,Wholesale,6645.83,557,0.399,3.87,367.75,17
2022-03-24,South,Online,8995.79,637,0.326,4.82,858.89,7
2022-03-25,North,Online,9591.89,695,0.246,4.36,1126.84,59
2022-03-26,South,Retail,8453.21,617,0.123,4.06,995.39,60
2022-03-27,South,Online,8033.49,600,0.25,3.93,701.42,13
2022-03-28,East,Online,8687.97,627,0.211,4.27,1252.54,19
2022-03-29,East,Online,8914.12,658,0.17,4.6,594.89,58
2022-03-30,West,Online,9736.41,578,0.052,4.29,973.99,54
2022-03-31,South,Online,9109.6,698,0.355,4.77,1084.85,33
2022-04-01,North,Online,8479.2,581,0.18,3.88,1015.08,8
2022-04-02,East,Retail,8471.18,525,0.078,4.31,973.03,7
2022-04-03,East,Online,7729.76,560,0.147,3.94,599.28,34
2022-04-04,East,Online,8122.62,615,0.166,4.42,533.01,27
2022-04-05,East,Wholesale,7851.21,585,0.331,4.58,891.85,7
2022-04-06,South,Online,9270.43,705,0.293,4.18,1019.1,44
2022-04-07,South,Retail,7622.66,618,0.308,3.53,517.85,6
2022-04-08,South,Online,9574.69,678,0.004,4.37,1153.88,54
2022-04-09,North,Online,8615.51,656,0.166,4.43,822.93,24
2022-04-10,North,Online,9358.61,684,0.193,4.42,1092.86,9
2022-04-11,North,Online,11376.51,762,0.008,4.67,1521.46,47
2022-04-12,East,Online,8502.08,539,0.104,3.98,569.41,24
2022-04-13,South,Online,7627.43,561,0.304,4.5,395.97,54
2022-04-14,South,Online,9935.95,648,0.055,4.65,1270.91,38
2022-04-15,West,Online,8858.18,698,0.214,3.76,982.99,24
2022-04-16,North,Online,10379.28,703,0.086,4.39,1245.14,51
2022-04-17,South,Online,9806.04,658,0.005,4.14,1312.2,22
2022-04-18,East,Online,8631.78,611,0.096,,1124.56,55
2022-04-19,North,Retail,7905.98,606,0.39,4.39,1155.0,26
2022-04-20,North,Retail,8591.44,687,0.321,4.14,890.02,40
2022-04-21,North,Online,8076.86,596,0.384,4.08,798.39,8
2022-04-22,North,Retail,8788.29,630,0.195,4.29,792.6,30
2022-04-23,West,Retail,9956.57,650,0.044,3.95,650.85,55
2022-04-24,West,Online,9132.09,613,0.219,3.95,979.52,50
2022-04-25,East,Wholesale,9473.4,649,0.182,4.48,736.1,19
2022-04-26,West,Wholesale,8167.99,610,0.338,,1160.92,18
2022-04-27,West,Online,8989.05,594,0.039,4.47,973.69,49
2022-04-28,North,Online,8494.71,584,0.195,4.4,928.34,54
2022-04-29,West,Wholesale,9948.01,633,0.06,3.75,850.48,11
2022-04-30,South,Retail,8070.56,561,0.13,4.06,445.49,28
2022-05-01,West,Online,8161.68,557,0.295,4.62,433.99,22
2022-05-02,West,Online,8105.05,601,0.19,3.96,748.37,53
2022-05-03,South,Online,8591.16,605,0.15,4.12,502.21,10
2022-05-04,North,Online,9471.98,619,0.158,4.39,1048.4,17
2022-05-05,North,Retail,8542.95,597,0.184,4.49,1179.76,46
2022-05-06,South,Online,7827.77,562,0.314,4.17,1082.51,8
2022-05-07,West,Online,6699.68,527,0.357,4.07,776.52,28
2022-05-08,West,Retail,7954.62,646,0.382,4.67,565.76,32
2022-05-09,North,Online,8212.88,554,0.315,4.77,1119.41,22
2022-05-10,South,Online,10263.99,712,0.126,4.54,1422.69,32
2022-05-11,South,Retail,7737.4,566,0.275,4.27,539.03,32
2022-05-12,North,Wholesale,8566.12,626,0.175,3.99,1059.99,15
2022-05-13,North,Retail,8926.84,621,0.102,3.99,702.11,38
2022-05-14,South,Retail,8702.86,624,0.336,4.39,1133.67,51
2022-05-15,West,Online,9048.08,596,0.015,4.36,1354.71,46
2022-05-16,South,Online,7714.19,562,0.361,4.65,408.87,13
2022-05-17,South,Retail,8776.31,654,0.185,4.42,1226.37,15
2022-05-18,East,Online,8137.18,594,0.255,3.77,913.5,20
2022-05-19,South,Online,7650.99,619,0.264,,1127.28,26
2022-05-20,West,Online,7651.17,579,0.358,,738.35,27
2022-05-21,West,Online,8741.69,612,0.255,4.1,1177.84,43
2022-05-22,North,Online,7308.14,490,0.246,4.29,411.01,7
2022-05-23,South,Online,9129.33,559,0.027,4.81,762.55,7
2022-05-24,South,Online,7690.58,506,0.207,5.0,436.07,22
2022-05-25,North,Online,9787.26,672,0.06,4.39,1443.96,48
2022-05-26,North,Wholesale,6743.13,523,0.295,4.15,888.05,14
2022-05-27,East,Retail,7786.39,512,0.205,4.37,1053.15,34
2022-05-28,South,Retail,8136.72,623,0.272,4.47,1170.03,20
2022-05-29,North,Retail,10276.27,673,0.017,4.11,601.27,60
2022-05-30,North,Online,8898.11,604,0.034,4.74,788.01,54
2022-05-31,West,Online,7414.22,599,0.287,4.27,423.38,22
2022-06-01,North,Retail,10444.33,728,0.029,4.35,742.38,22
2022-06-02,North,Retail,7814.78,518,0.029,4.4,569.98,24
2022-06-03,South,Retail,7303.39,461,0.005,4.32,707.78,14
2022-06-04,West,Online,7622.93,520,0.383,4.44,585.87,36
2022-06-05,North,Online,7388.17,529,0.295,4.0,444.01,44
2022-06-06,East,Online,7662.62,532,0.141,4.02,511.47,37
2022-06-07,East,Online,9052.1,597,0.119,3.86,585.92,50
2022-06-08,North,Retail,8598.53,597,0.14,4.32,1266.63,27
2022-06-09,East,Retail,7261.53,548,0.31,4.42,914.44,13
2022-06-10,South,Online,6953.81,509,0.265,4.32,1020.65,38
2022-06-11,East,Wholesale,9369.64,619,0.074,4.68,880.5,26
2022-06-12,East,Retail,9213.8,633,0.07,4.17,717.17,44
2022-06-13,South,Online,8764.75,605,0.039,4.37,1137.92,20
2022-06-14,North,Online,9105.85,627,0.264,3.84,752.37,10
2022-06-15,West,Online,6905.72,563,0.306,4.05,552.03,56
2022-06-16,South,Online,7369.09,509,0.106,4.38,,12
2022-06-17,North,Online,8407.1,562,0.008,4.42,529.38,55
2022-06-18,North,Online,8806.37,614,0.033,4.08,666.17,60
2022-06-19,East,Online,7401.91,577,0.387,4.14,633.1,47
2022-06-20,East,Online,8265.87,603,0.118,3.7,970.41,41
2022-06-21,North,Wholesale,7829.97,592,0.308,4.05,440.49,36
2022-06-22,South,Online,6969.65,496,0.25,4.42,495.2,43
2022-06-23,North,Retail,9342.27,664,0.153,4.33,1222.93,23
2022-06-24,East,Online,8522.55,550,0.082,4.3,551.34,28
2022-06-25,North,Wholesale,9602.8,653,0.049,4.16,809.18,42
2022-06-26,East,Online,8082.46,587,0.246,4.15,1102.98,27
2022-06-27,South,Online,7860.26,579,0.31,3.95,514.79,28
